name,owner,description,updated_at,language,languages_breakdown,html_url
acm,gemini-hlsw,,2021-12-01,Java,"Java: 307817, Scala: 76613",https://github.com/gemini-hlsw/acm
ags-server,gemini-hlsw,Legacy ags-server,2023-08-23,Scala,"Scala: 1987, Shell: 1702, Nix: 908, Procfile: 43",https://github.com/gemini-hlsw/ags-server
aladin-lite,gemini-hlsw,An astronomical HiPS visualizer in the browser,2020-04-16,,"JavaScript: 426366, CSS: 21462, HTML: 10191, Shell: 4715",https://github.com/gemini-hlsw/aladin-lite
antares2goats,gemini-hlsw,Browser extensions,2025-01-03,JavaScript,"JavaScript: 9810, Makefile: 1821, CSS: 1359, HTML: 993",https://github.com/gemini-hlsw/antares2goats
basic-case,gemini-hlsw,Prototype API for the OCS3 basic science case.,2023-02-16,Scala,"Scala: 164747, HTML: 18367",https://github.com/gemini-hlsw/basic-case
checklists,gemini-hlsw,Simple checklist app,2023-02-16,JavaScript,"JavaScript: 1553185, CSS: 68043, CoffeeScript: 37902, Scala: 33882, HTML: 32984",https://github.com/gemini-hlsw/checklists
clue,gemini-hlsw,GraphQL client for Scala.,2025-07-08,Scala,"Scala: 370789, Nix: 832, Shell: 40",https://github.com/gemini-hlsw/clue
crystal,gemini-hlsw,"Functional, tagless and lens-based, global state management. With scalajs-react fs2.Stream integrations.",2025-07-08,Scala,"Scala: 297877, Nix: 886, Shell: 41",https://github.com/gemini-hlsw/crystal
dhs-http,gemini-hlsw,HTTP front end service for the DHS Server,2021-03-31,C++,"C++: 63026, Java: 16603, Makefile: 1590, C: 350, Shell: 99",https://github.com/gemini-hlsw/dhs-http
explore,gemini-hlsw,,2025-07-21,Scala,"Scala: 2219754, SCSS: 124867, CSS: 32459, PLpgSQL: 16686, TypeScript: 8138, JavaScript: 3715, Shell: 2820, Nix: 1293, HTML: 898",https://github.com/gemini-hlsw/explore
explore-help-docs,gemini-hlsw,,2025-05-27,,,https://github.com/gemini-hlsw/explore-help-docs
gem,gemini-hlsw,prototype postgres back-end for ocs,2023-12-19,Scala,"Scala: 1050643, PLSQL: 8555, Python: 5416, PLpgSQL: 5095, Shell: 181",https://github.com/gemini-hlsw/gem
gemini-locales,gemini-hlsw,Gemini locales package for Scala.js,2025-07-08,Scala,"Scala: 1079, Nix: 832, Shell: 40",https://github.com/gemini-hlsw/gemini-locales
giapi,gemini-hlsw,Base code for the Gemini Instrument Application Programmer Interface,2020-04-16,,,https://github.com/gemini-hlsw/giapi
giapi-glue-cc,gemini-hlsw,GIAPI library for C++,2025-06-28,C++,"C++: 362487, Python: 48538, Makefile: 25822, Shell: 2607, Dockerfile: 1391",https://github.com/gemini-hlsw/giapi-glue-cc
giapi-scala,gemini-hlsw,,2025-07-05,Scala,"Scala: 132930, Nix: 931, Shell: 40",https://github.com/gemini-hlsw/giapi-scala
gmp,gemini-hlsw,Base code for the Gemini Master Process,2024-12-28,Java,"Java: 1393954, HTML: 261897, Scala: 170033, Shell: 28609, Starlark: 6130, Nix: 2797, CSS: 209, Dockerfile: 187",https://github.com/gemini-hlsw/gmp
goats,gemini-hlsw,Time-domain astronomy made time efficient.,2025-07-21,Python,"Python: 616913, JavaScript: 445381, SCSS: 253031, Less: 243280, CSS: 215298, HTML: 133396",https://github.com/gemini-hlsw/goats
goats-infra,gemini-hlsw,Infrastructure for GOATS.,2025-07-08,Python,Python: 1219,https://github.com/gemini-hlsw/goats-infra
gpp-client,gemini-hlsw,Python client for GPP GraphQL API,2025-07-21,Python,"Python: 786111, HTML: 8936",https://github.com/gemini-hlsw/gpp-client
gsp-core,gemini-hlsw,Core schema and data model for GSP.,2023-01-27,Scala,"Scala: 1047613, TSQL: 155180, PLpgSQL: 5095, Shell: 1916",https://github.com/gemini-hlsw/gsp-core
gsp-montage,gemini-hlsw,Mosaic image server based on Montage.,2020-03-30,Scala,"Scala: 29415, Dockerfile: 1241",https://github.com/gemini-hlsw/gsp-montage
itac,gemini-hlsw,,2025-07-10,Scala,"Scala: 566387, Java: 35498",https://github.com/gemini-hlsw/itac
itac-cli,gemini-hlsw,ITAC Command-Line Interface,2023-01-28,Scala,"Scala: 663148, Java: 40945",https://github.com/gemini-hlsw/itac-cli
itc-server,gemini-hlsw,standalone itc server,2023-02-16,Scala,"Scala: 2312, Shell: 1142, Nix: 908, Procfile: 43",https://github.com/gemini-hlsw/itc-server
lch,gemini-hlsw,Automates the exchange of candidate positions where we might want to point our laser at during laser runs,2025-05-06,Java,"Java: 663503, Scala: 92278, HTML: 27306, GAP: 10665, Nix: 1931, CSS: 1764, Shell: 264",https://github.com/gemini-hlsw/lch
